URL,Page title,Content type,HTTP status,Canonical URL,In XML sitemap,Indexability (robots meta),Target topic / query,Important internal links (inbound seen / outbound),Backlinks / referrers,Search Console 90d clicks,Search Console 90d impressions,Leading queries,Outdated internal/external links,Outdated pricing,Unsupported generation-speed claim,Unsupported installation claim,Outdated screenshots,Other findings,Recommendation (documentation only),Proposed destination on squarespellquiz.com (future),Discovery source(s)
https://squarespell.com/squarespace-blog/category/Squarespell Quiz  (redirects to /tag/quiz/),Quiz - Squarespell,Category/tag archive,301 then 200 at /tag/quiz/,Unavailable,No,"noindex, follow (tag page)",squarespell quiz,Unavailable,Unavailable (no backlink tool; Search Console Links report not opened this pass),3 (category form); 0 (tag/Quiz form),15 (category form); 1 (tag/Quiz form),Unavailable,Category URL contains a space,Not applicable,Not applicable,Not applicable,Not applicable,Tag archive is noindex,Keep unchanged; record only,Not applicable,Search Console; redirect check
https://squarespell.com/premium-plugins/p/common-ninja-personality-quiz/,Personality Quiz by Common Ninja | Plugin for Squarespace,"Marketplace product (third-party vendor, affiliate)",200,self,Yes,"index, follow",common ninja personality quiz,Inbound: /blog/. Outbound: 16-templates article,Unavailable (no backlink tool; Search Console Links report not opened this pass),1,9,Unavailable,Unavailable,Unavailable,Not applicable,Not applicable,Unavailable,"Third-party product, not Squarespell's own - out of scope for entitlement decision",Keep,Not applicable,product-sitemap; Search Console
https://squarespell.com/premium-plugins/p/common-ninja-quiz/,Quiz Maker by Common Ninja | Plugin for Squarespace,"Marketplace product (third-party vendor, affiliate)",200,self,Yes,"index, follow",common ninja quiz maker,"Inbound: /browse/, /plugins/",Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not applicable,Not applicable,Unavailable,"Third-party product, out of scope for entitlement decision. Not in the Search Console URL-contains-'quiz' list",Keep,Not applicable,product-sitemap
https://squarespell.com/squarespace-blog/the-26-best-squarespace-plugins-in-2026/,"26 Best Squarespace Plugins for 2026, Ranked | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Blog roundup that links legacy quiz plugin,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Blog roundup that links legacy quiz plugin,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/squarespace-plugins-for-coaches-9-tools-that-fill-your-pipeline-not-just-look-nice/,9 Squarespace Plugins for Coaches (2026) | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Blog roundup that links legacy quiz plugin,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Blog roundup that links legacy quiz plugin,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/squarespace-ecommerce-review-2026/,Squarespace Ecommerce Review 2026: Honest Take | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Links legacy quiz plugin and lifetime guide,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links legacy quiz plugin and lifetime guide,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/squarespace-extensions-vs-third-party-plugins-whats-the-difference-and-which-do-you-need/,Squarespace Extensions vs Plugins | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Links legacy quiz plugin,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links legacy quiz plugin,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/how-to-enhance-your-squarespace-websites-functionality-without-coding-2026-guide/,Enhance Squarespace Without Code 2026 Guide | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Links legacy quiz plugin,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links legacy quiz plugin,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/squarespace-product-filter-plugin/,"Squarespace Product Filter Plugin, No Code | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Links legacy quiz plugin; product-finder adjacent,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links legacy quiz plugin; product-finder adjacent,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/,Plugins & Templates for 6 Platforms | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Home page links legacy quiz plugin,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Home page links legacy quiz plugin,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/blog/,"Squarespace Blog: Guides, Tutorials and Case Studies | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes (page-sitemap) or archive - not separately verified,"index, follow",Not quiz-specific,Blog index links 5 quiz articles,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Blog index links 5 quiz articles,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/category/squarespace-blog/,Squarespace Blog - Squarespell,Related page (mentions or links quiz-type content),200,self,Yes (page-sitemap) or archive - not separately verified,"index, follow",Not quiz-specific,Category archive links 3 quiz articles,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Category archive links 3 quiz articles,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/browse/,"Browse All Squarespace Plugins, Templates and Extensions | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes (page-sitemap) or archive - not separately verified,"index, follow",Not quiz-specific,Links Common Ninja quiz,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links Common Ninja quiz,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/plugins/,Squarespace Plugins - Browse All Tools for Your Site | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes (page-sitemap) or archive - not separately verified,"index, follow",Not quiz-specific,Links Common Ninja quiz,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Links Common Ninja quiz,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/squarespace-blog/best-squarespace-templates/,Best Squarespace Templates 2026 (blog path /squarespace-blog/best-squarespace-templates/),Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Mentions assessment/questionnaire/scorecard terms,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Mentions assessment/questionnaire/scorecard terms,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/premium-plugins/p/common-ninja-calculator/,Calculator by Common Ninja | Plugin for Squarespace,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Third-party calculator product,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Third-party calculator product,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/premium-plugins/p/elfsight-calculator-form-widget/,Calculator by Elfsight: Plugin for Shopify | Squarespell,Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Third-party calculator product,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Third-party calculator product,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/extensions/p/typeform/,"Typeform: Conversational Forms, Surveys and | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Third-party form/quiz-adjacent extension listing,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Third-party form/quiz-adjacent extension listing,Keep unchanged,Not applicable,sitemap crawl; body scan
https://squarespell.com/extensions/p/jotform/,"Jotform: Forms, Tables, Apps, Signatures and | Squarespell",Related page (mentions or links quiz-type content),200,self,Yes,"index, follow",Not quiz-specific,Third-party form extension listing,Unavailable (no backlink tool; Search Console Links report not opened this pass),Unavailable (URL does not contain 'quiz'; not queried per-URL),Unavailable (not queried per-URL),Unavailable,Unavailable,Unavailable,None detected in scan,None detected in scan,Unavailable,Third-party form extension listing,Keep unchanged,Not applicable,sitemap crawl; body scan
